Well,Group,Proton_Production_Rate_pmol_H_per_min,Basal_OCR_pmol_O2_per_min,ATP_Linked_OCR_pmol_O2_per_min,Proton_Leak_OCR_pmol_O2_per_min,ATP_Production_OxPhos_pmol_ATP_per_min,ATP_Production_Glycolysis_pmol_ATP_per_min,Total_ATP_Production_pmol_ATP_per_min
A01,Buffering Power-XF DMEM Control-PM1,7.957713819467153,1.6442842900107593,-0.2639032287294256,1.9081875187401849,-0.39904124363052285,11.21931525757249,10.820274013941967
A02,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A03,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A04,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A05,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A06,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A07,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A08,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A09,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A10,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A11,Background,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A12,Buffering Power-XF DMEM Control-PM1,0.2739512369212489,0.23983612744666427,-0.8365873140703108,1.076423441516975,-3.980039535755629,0.2797046679920202,-3.7003348677636088
B01,Buffering Power-XF DMEM Control-PM1,3.495463131748172,0.18174518873565493,-0.4851334705155325,0.6668786592511875,-2.284713001063659,5.242391938843793,2.9576789377801345
B02,LPS IFNg-XF DMEM Control-PM1,23.66501284204947,33.4899170461677,30.477854935246953,3.012062110920745,168.0536738590111,16.736431877693793,184.7901057367049
B03,LPS IFNg-XF DMEM Control-PM2,25.397050565287888,30.430222159857053,25.63812189291525,4.7921002669418,142.60063228106748,21.165356201149578,163.76598848221704
B04,LPS IFNg-XF DMEM Control-PM3,257.1473776628417,16.27202043038875,8.8726940437328,7.39932638665595,52.48494168589523,383.97493514591974,436.459876831815
B05,LPS IFNg-XF DMEM Control-PM3,267.37145707444074,12.778838908264902,5.304058609578004,7.474780298686898,33.04139005137895,401.6487123826291,434.69010243400805
B06,LPS IFNg-XF DMEM Control-PM3,254.46141545369852,25.664262325818108,16.090291564929153,9.573970760888955,93.08037997995855,374.40476352792814,467.4851435078867
B07,LPS IFNg-XF DMEM Control-RAW,307.1811609080988,93.39506671615325,59.891401800901306,33.503664915251946,345.3000548766487,415.6872844006196,760.9873392772683
B08,LPS IFNg-XF DMEM Control-RAW,277.1228850912148,133.39410094598742,83.57538484474117,49.81871610124624,483.52262024356725,346.4426838995616,829.9653041431288
